n:1 mse_avg:2.99 mse_y:3.75 mse_u:1.82 mse_v:1.12 psnr_avg:43.37 psnr_y:42.39 psnr_u:45.52 psnr_v:47.63 
n:2 mse_avg:4.65 mse_y:6.16 mse_u:2.08 mse_v:1.19 psnr_avg:41.46 psnr_y:40.24 psnr_u:44.96 psnr_v:47.39 
n:3 mse_avg:4.53 mse_y:5.95 mse_u:2.14 mse_v:1.22 psnr_avg:41.57 psnr_y:40.39 psnr_u:44.82 psnr_v:47.25 
n:4 mse_avg:3.47 mse_y:4.39 mse_u:2.07 mse_v:1.17 psnr_avg:42.73 psnr_y:41.70 psnr_u:44.96 psnr_v:47.45 
n:5 mse_avg:4.86 mse_y:6.43 mse_u:2.19 mse_v:1.24 psnr_avg:41.26 psnr_y:40.05 psnr_u:44.72 psnr_v:47.19 
n:6 mse_avg:4.57 mse_y:6.02 mse_u:2.16 mse_v:1.22 psnr_avg:41.53 psnr_y:40.34 psnr_u:44.78 psnr_v:47.26 
n:7 mse_avg:5.16 mse_y:6.85 mse_u:2.26 mse_v:1.28 psnr_avg:41.01 psnr_y:39.77 psnr_u:44.59 psnr_v:47.05 
n:8 mse_avg:3.53 mse_y:4.47 mse_u:2.10 mse_v:1.19 psnr_avg:42.65 psnr_y:41.63 psnr_u:44.91 psnr_v:47.37 
n:9 mse_avg:4.91 mse_y:6.46 mse_u:2.37 mse_v:1.30 psnr_avg:41.22 psnr_y:40.03 psnr_u:44.38 psnr_v:46.99 
n:10 mse_avg:4.55 mse_y:5.94 mse_u:2.28 mse_v:1.28 psnr_avg:41.55 psnr_y:40.39 psnr_u:44.55 psnr_v:47.06 
n:11 mse_avg:5.30 mse_y:6.96 mse_u:2.53 mse_v:1.42 psnr_avg:40.89 psnr_y:39.70 psnr_u:44.10 psnr_v:46.60 
n:12 mse_avg:5.42 mse_y:7.16 mse_u:2.48 mse_v:1.39 psnr_avg:40.79 psnr_y:39.58 psnr_u:44.18 psnr_v:46.71 
n:13 mse_avg:3.71 mse_y:4.67 mse_u:2.24 mse_v:1.32 psnr_avg:42.44 psnr_y:41.44 psnr_u:44.63 psnr_v:46.94 
n:14 mse_avg:5.40 mse_y:7.15 mse_u:2.45 mse_v:1.36 psnr_avg:40.81 psnr_y:39.59 psnr_u:44.24 psnr_v:46.81 
n:15 mse_avg:4.38 mse_y:5.62 mse_u:2.50 mse_v:1.28 psnr_avg:41.72 psnr_y:40.63 psnr_u:44.15 psnr_v:47.07 
n:16 mse_avg:5.45 mse_y:7.20 mse_u:2.58 mse_v:1.35 psnr_avg:40.77 psnr_y:39.56 psnr_u:44.02 psnr_v:46.82 
n:17 mse_avg:5.70 mse_y:7.62 mse_u:2.44 mse_v:1.30 psnr_avg:40.57 psnr_y:39.31 psnr_u:44.25 psnr_v:47.00 
n:18 mse_avg:3.41 mse_y:4.27 mse_u:2.25 mse_v:1.16 psnr_avg:42.80 psnr_y:41.83 psnr_u:44.62 psnr_v:47.50 
n:19 mse_avg:5.41 mse_y:7.18 mse_u:2.51 mse_v:1.25 psnr_avg:40.80 psnr_y:39.57 psnr_u:44.14 psnr_v:47.16 
n:20 mse_avg:5.36 mse_y:7.06 mse_u:2.63 mse_v:1.32 psnr_avg:40.84 psnr_y:39.64 psnr_u:43.94 psnr_v:46.94 
n:21 mse_avg:4.59 mse_y:6.02 mse_u:2.28 mse_v:1.18 psnr_avg:41.52 psnr_y:40.34 psnr_u:44.56 psnr_v:47.40 
n:22 mse_avg:5.13 mse_y:6.74 mse_u:2.54 mse_v:1.29 psnr_avg:41.03 psnr_y:39.84 psnr_u:44.08 psnr_v:47.03 
n:23 mse_avg:5.20 mse_y:6.87 mse_u:2.42 mse_v:1.27 psnr_avg:40.97 psnr_y:39.76 psnr_u:44.29 psnr_v:47.08 
n:24 mse_avg:3.35 mse_y:4.19 mse_u:2.12 mse_v:1.19 psnr_avg:42.88 psnr_y:41.90 psnr_u:44.86 psnr_v:47.37 
n:25 mse_avg:5.02 mse_y:6.58 mse_u:2.47 mse_v:1.34 psnr_avg:41.12 psnr_y:39.95 psnr_u:44.21 psnr_v:46.86 
n:26 mse_avg:5.30 mse_y:7.00 mse_u:2.54 mse_v:1.27 psnr_avg:40.89 psnr_y:39.68 psnr_u:44.08 psnr_v:47.10 
n:27 mse_avg:4.58 mse_y:5.95 mse_u:2.43 mse_v:1.28 psnr_avg:41.52 psnr_y:40.38 psnr_u:44.28 psnr_v:47.07 
n:28 mse_avg:4.92 mse_y:6.43 mse_u:2.50 mse_v:1.28 psnr_avg:41.21 psnr_y:40.05 psnr_u:44.15 psnr_v:47.04 
n:29 mse_avg:4.63 mse_y:6.03 mse_u:2.41 mse_v:1.25 psnr_avg:41.47 psnr_y:40.33 psnr_u:44.31 psnr_v:47.16 
